timestamp,symbol,regime,bars,cycle_promoted,cycle_oos_return,cycle_oos_trades,cycle_sharpe,cycle_win_rate,cycle_max_drawdown,champion_oos_return,champion_oos_trades,champion_sharpe,champion_win_rate,champion_genome_id,champion_certified_at,low_confidence,note
2026-07-11T04:41:23.912133+00:00,USDCAD,trending_up,519,True,0.0445,12,0.305,0.583,0.0394,0.0445,12,0.305,0.583,mut-8617cd,1783744882.9966996,True,
2026-07-11T04:41:50.348840+00:00,XAUUSD,high_volatility,503,False,0.1084,20,0.425,0.6,0.0297,0.127,21,0.476,0.619,mut-928d33,1783568527.7833712,False,
2026-07-11T04:43:14.738827+00:00,USOIL,high_volatility,503,False,0.0193,19,0.084,0.474,0.0394,0.0193,19,0.084,0.474,mut-47ed77,1783744932.431745,False,
2026-07-11T04:43:30.595641+00:00,SPX,trending_up,501,True,0.0324,14,0.186,0.5,0.0297,0.0324,14,0.186,0.5,mut-6d1a7c,1783745009.4858105,True,
2026-07-11T04:44:42.169747+00:00,NASDAQ,ranging,501,False,-0.0647,17,-0.382,0.235,0.0773,0.0177,11,0.132,0.455,mut-d84022,1783650806.8484473,True,
2026-07-11T04:45:08.809865+00:00,BTCUSD,high_volatility,730,False,-0.0264,16,-0.147,0.312,0.0401,0.0399,5,0.811,0.8,volatili-91abaf,1783502575.1490688,True,
2026-07-11T04:45:34.257459+00:00,ETHUSD,high_volatility,730,False,0.004,13,0.026,0.385,0.0394,0.0074,13,0.049,0.462,mut-0a14d7,1783570501.1940567,True,
2026-07-12T01:51:37.514220+00:00,EURUSD,trending_down,130,False,0.0156,2,1.082,1.0,0.0,0.0284,3,1.189,0.667,msw-11b8,1783502003.6880755,True,
2026-07-12T01:53:17.278595+00:00,GBPUSD,ranging,131,False,-0.0403,5,-2.247,0.0,0.0394,0.0082,2,0.373,0.5,mut-fb31af,1783566744.03113,True,
2026-07-12T01:54:55.680066+00:00,USDJPY,trending_up,130,False,-0.0035,4,-0.084,0.5,0.0199,,,,,,,True,
2026-07-12T01:54:57.233361+00:00,AUDUSD,trending_down,131,False,-0.0129,4,-0.309,0.25,0.0199,,,,,,,True,
2026-07-12T01:54:58.881053+00:00,USDCAD,trending_up,131,False,0.0012,1,0.0,1.0,0.0,0.0445,12,0.305,0.583,mut-8617cd,1783744882.9966996,True,
2026-07-12T01:55:00.631182+00:00,USDCHF,trending_up,131,False,-0.0234,3,-2.549,0.0,0.0199,,,,,,,True,
2026-07-12T01:55:02.411721+00:00,NZDUSD,trending_down,131,False,-0.0248,3,-3.44,0.0,0.0199,,,,,,,True,
2026-07-12T01:55:04.223975+00:00,EURGBP,trending_down,130,True,0.0034,6,0.05,0.5,0.0297,0.0034,6,0.05,0.5,mut-924f03,1783821303.8404343,True,
2026-07-12T01:55:05.974183+00:00,EURJPY,ranging,130,False,-0.0017,1,0.0,0.0,0.0,,,,,,,True,
2026-07-12T01:55:07.696021+00:00,GBPJPY,ranging,130,False,-0.0064,1,0.0,0.0,0.0,,,,,,,True,
2026-07-12T01:56:45.882054+00:00,XAUUSD,high_volatility,124,False,0.0092,7,0.11,0.429,0.0199,0.127,21,0.476,0.619,mut-928d33,1783568527.7833712,False,
2026-07-12T01:58:16.096640+00:00,USOIL,high_volatility,124,False,0.0203,2,2.087,1.0,0.0,0.0203,2,2.087,1.0,mut-44fc90,1783821407.0754356,True,
2026-07-12T02:00:19.166378+00:00,BTCUSD,high_volatility,181,False,0.045,4,1.634,0.75,0.0,0.0607,5,1.893,0.8,mut-785457,1783821498.0682824,True,
2026-07-12T02:02:20.530518+00:00,ETHUSD,high_volatility,181,False,0.0178,7,0.215,0.571,0.0297,0.0178,7,0.215,0.571,imm-009cc4,1783821621.0398705,True,
2026-07-12T02:03:52.339767+00:00,SOLUSD,high_volatility,181,True,0.0195,7,0.237,0.571,0.0199,0.0195,7,0.237,0.571,mut-0c13bb,1783821831.9262588,True,
2026-07-12T02:05:19.598739+00:00,XRPUSD,high_volatility,181,False,0.0016,9,0.015,0.444,0.0297,0.0161,7,0.196,0.571,mut-c1e209,1783821834.3486388,True,
2026-07-12T02:07:26.189432+00:00,BNBUSD,high_volatility,181,False,-0.0288,6,-0.526,0.167,0.0394,,,,,,,True,
